train_index,text,label,is_spam
10562,"Subject: spring savings certificate - take 30 % off
save 30 % when you use our customer appreciation spring savings
certificate at foot locker , lady foot locker , kids foot locker and at
our online stores !
welcome to our customer appreciation spring savings certificate !
use the special certificate below and receive 30 % off your purchases either in our stores or online . hurry ! this 4 - day sale begins thursday , march 22 and ends sunday , march 25 .
share the savings today and e - mail this offer to your friends . many items already are reduced and the 30 % discount is taken off the lowest sale price .
click below to print your customer appreciation spring savings certificate . you must present this coupon at any foot locker , lady foot locker or kids foot locker store in the u . s . foot locker canada is not participating in this program .
ready , set , save !
our spring savings discount will automatically appear when you use the links below or type camlem 21 into the promotion code box during checkout .
footlocker . com certificate code : camlem 21
ladyfootlocker . com certificate code : camlem 21
kidsfootlocker . com certificate code : camlem 21
remember , returns are hassle - free . simply bring your items to any of our stores nationwide or through the mail .
don ' t be left out - register today to learn about our new products , promotions , events and other specials . simply click below .
terms and conditions . some exclusions apply , please see manager for complete details . certificate must be presented at the time of purchase and cannot be used in conjunction with any other discount offer or associate benefit . not redeemable for cash . applicable taxes must be paid by bearer . cannot be applied to prior purchases or to gift card purchases . void where prohibited , licensed or regulated . catalog exclusions apply . valid thursday , 3 / 22 / 01 through sunday , 3 / 25 / 01 . foot locker canada will not participate in this program .
if you do not wish to receive future emails please click below to
unsubscribe :
",0,1
6360,a big fat pain .,0,0
5740,murderous maids pulls no punches in its depiction of the lives of the papin sister and the events that led to their notorious rise to infamy . . .,1,0
4949,"a chilly , brooding but quietly resonant psychological study of domestic tension and unhappiness .",1,0
6734,it's just plain lurid when it isn't downright silly .,0,0
1688,"Subject: enron / hpl actuals for january 29 , 2001
teco tap 28 . 333 / enron",1,1
6973,"as the sulking , moody male hustler in the title role , [franco] has all of dean's mannerisms and self-indulgence , but none of his sweetness and vulnerability .",0,0
9600,refreshing .,1,0
398,"this version's no classic like its predecessor , but its pleasures are still plentiful .",1,0
7347,"Subject: neon discussion february 7
here ' s something you might want to work with this week . ? i ' m praying things
are going well for all of you . ? if there ' s something i can do let me know .
?
bobby
- compassion . doc",1,1
5862,thurman and lewis are hilarious throughout .,1,0
2238,"Subject: opm survey help sheet
hi daren ,
the attached spreadsheet could be used to help you in the collection of the
hours for your group prior to entering into the database sent to you by james
scribner . it includes a place for your fte ' s , hours by position & activity
and the activity definitions for your cost center . please let me know if you
have any questions .
thanks ,
suzanne",1,1
468,none of this is half as moving as the filmmakers seem to think .,0,0
11410,"the talents of the actors helps "" moonlight mile "" rise above its heart-on-its-sleeve writing .",1,0
218,"Subject: with pre - bid coming up , how should i handle ces ? who will be responsible for
june info ? also , who on the trade floor will be the devon contact ? bob
superty asked me to be the point person initially , so maybe he has another
person in mind ( ed terry or kathy kelly - secondary contacts ) that he would
like to handle it besides someone on the texas desk . this way it could free
our group up from that task . part of the reason i was handling it was because
i wanted to make sure nothing that affects texas slips through the cracks ,
especially in the beginning . please advise .
ami",0,1
9994,succeeds only because bullock and grant were made to share the silver screen .,1,0
11067,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .",0,0
9178,"Subject: 98 - 6892 for 3 / 15 / 2000 and 3 / 23 / 2000
daren ,
i know it ' s first of the month but the above meter has flow for 3 / 15 ( 71
dec . ) and 3 / 23 ( 35 dec . ) but the deal ( sitara # 213005 ) doesn ' t cover these
two days .
can you see if it is feasible to activate these two days in sitara so that i
can clear my exceptions for volume management ?
thanks
- jackie -
3 - 9497",0,1
10319,"bennett's naturalistic performance speaks volumes more truth than any 'reality' show , and anybody contemplating their own drastic life changes should watch some body first .",1,0
4618,rodriguez . . . was unable to reproduce the special spark between the characters that made the first film such a delight .,0,0
3231,"the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",0,0
10130,"Subject: hpl nom for october 6 , 2000
( see attached file : hpll 006 . xls )
- hpll 006 . xls",0,1
5714,"Subject: neon lesson # 5
here is your next lesson . . . have fun ! !
- experiencing god week 5 . doc",0,1
10280,"Subject: calpine daily gas nomination
as we spoke about by phone , here is the nomination , thanks . >
- calpine daily gas nomination 1 . doc",0,1
1078,"evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .",1,0
5967,diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film .,1,0
9174,"outer-space buffs might love this film , but others will find its pleasures intermittent .",0,0
3650,"texan director george ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .",1,0
10998,the cast comes through even when the movie doesn't .,1,0
8327,"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",1,0
5547,"it's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period .",1,0
7951,a tasty slice of droll whimsy .,1,0
6306,"what's most refreshing about real women have curves is its unforced comedy-drama and its relaxed , natural-seeming actors .",1,0
5137,"apesar de seus graves problemas , o filme consegue entreter .",1,0
624,"seems based on ugly ideas instead of ugly behavior , as happiness was . . . hence , storytelling is far more appealing .",1,0
3263,"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women .",1,0
5775,"good for a few unintentional laughs , "" extreme ops "" was obviously made for the "" xxx "" crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",0,0
1427,first-time director joão pedro rodrigues' unwillingness to define his hero's background or motivations becomes more and more frustrating as the film goes on .,0,0
967,"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",1,0
7711,"it's still a comic book , but maguire makes it a comic book with soul .",1,0
6916,a fairly enjoyable mixture of longest yard . . . and the 1999 guy ritchie caper lock stock and two smoking barrels .,1,0
1041,it will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster .,1,0
4676,this is not one of the movies you'd want to watch if you only had a week to live .,0,0
14,"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",0,0
7957,"who knows what exactly godard is on about in this film , but his words and images don't have to add up to mesmerize you .",1,0
7759,"Subject: re : tenaska iv 1 / 01
txu revised their rates for jan 2001 . they are now billing us at $ 0 . 10 and $ 0 . 08 for contract 1671 . this was previously billed all at $ 0 . 10 . please change the demand fee on deal 384258 from $ 3 , 841 , 888 . 11 to $ 3 , 830 , 131 . 18 .
also , i spoke to txu about the rate on contract 1856 ( deal 452475 ) . they have been billing us $ 0 . 11 and we have $ 0 . 10 . the extra cent is for the el paso header fee . the pricing you gave me is for contract 1671 , but also has the header fee if you look on page 5 of 6 . you ' ll see a a section called "" compression & header expense if utilized "" . the current rate for 1856 is $ 0 . 01 and 0 % fuel . i will leave a copy of the contract in your chair .
thanks ,
megan
daren j farmer @ ect
03 / 13 / 2001 10 : 54 am
to : megan parker / corp / enron @ enron
cc :
subject : re : tenaska iv 1 / 01
i have made the changes mentioned below . i ' ve also adjusted the spreadsheet based on our conversation yesterday . take a look at it when you get a chance .
d
enron north america corp . from : megan parker @ enron 03 / 13 / 2001 09 : 06 am
to : daren j farmer / hou / ect @ ect
cc :
subject : tenaska iv 1 / 01
we need to change the demand fees for tenaska iv based on actuals for jan 2001 . tenaska owes us some additional money . i have attached my netting spreadsheet if you need it .
deal 514353 change mmbtu from 45 , 000 to 46 , 113
deal 384258 change amount from $ 3 , 934 , 644 . 50 to $ 3 , 841 , 888 . 11
i got your message regarding apache . i will just leave the pay the lesser ofs there until they come back for it . also , mark checked with txu and we do not have the rights to get dailies for the tenaska meters . he said that only the interconnecting pipes get dailies . for the spreadsheet , i am just going to prorate the actuals based on the noms .
i will let you know when we receive the payment from brazos for feb 2001 , so you can enter the demand fee to forward the cash to tenaska iv .
thanks ,
megan
",0,1
5279,"one problem with the movie , directed by joel schumacher , is that it jams too many prefabricated story elements into the running time .",0,0
651,"Subject: enron / hpl actuals - nov . 6 , 2000
november 6 , 2000
teco tap 30 . 000 / enron ; 120 . 000 / hpl iferc",0,1
6853,"director carl franklin , so crisp and economical in one false move , bogs down in genre cliches here .",0,0
8166,adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .,1,0
6551,"Subject: lng - europe
please follow up .
eric
- - - - - - - - - - - - - - - - - - - - - - forwarded by eric gonzales / lon / ect on 07 / 03 / 2001 21 : 18
- - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
07 / 03 / 2001 19 : 54
to : eric gonzales / lon / ect @ ect
cc :
subject : lng - europe
eric ,
i recieved a call from a guy with pacific interlink ( ? ) . he is looking to
market lng in europe . since i have very little knowledge in this area , i
didn ' t get much specific information . but , i told him i would find someone
for him to talk with . his name is sam kovacevich . phone : 847 - 971 - 3369 . i
would appreciate it if you would give sam a call . if you aren ' t the person
he needs to talk to , please let me know . thanks .
daren farmer
texas desk - gas",1,1
7015,"a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .",1,0
10976,a great comedy filmmaker knows great comedy needn't always make us laugh . tim story's not there yet - but 'barbershop' shows he's on his way .,1,0
214,it's fascinating to see how bettany and mcdowell play off each other .,1,0
2651,"Subject: labor distribution report
daren ,
i get a labor distribution report and show that kenneth seaman is showing as
being active for payperiod 1 and 2 in february . if he was not here for this
time period please verify that you are not being charged any payroll dollars
for him .
lisa",0,1
4832,woo's fights have a distinct flair . his warriors collide in balletic explosion that implies an underlying order throughout the chaos .,1,0
9500,"Subject: your amazon . com order ( # 102 - 6820014 - 8227326 )
greetings from amazon . com .
we thought you ' d like to know that we shipped your items today ,
and that this completes your order .
thanks for shopping at amazon . com , and we hope to see you again soon .
you can track the status of this order , and all your orders , online by
visiting "" your account "" page at http : / / www . amazon . com / your - account .
there you can :
* track order and shipment status
* review estimated delivery dates
* cancel unshipped items
* return items
* and do much more
the following items were included in this shipment :
qty item price shipped subtotal
1 tonka mighty front loader $ 19 . 99 1 $ 19 . 99
item subtotal : $ 19 . 99
shipping & handling : $ 0 . 00
total : $ 19 . 99
this shipment was sent to :
daren farmer
2747 meadowtree
spring tx 77388
via ups ground ( 3 - 7 business days ) .
for your reference , the number you can use to track your package is lza 41 wl 90316789627 . you can refer to our web site ' s help page or :
http : / / www . amazon . com / tracking
to retrieve current tracking information . please note that tracking
information may not be available immediately .
if you ' ve explored the links on "" your account "" page but still need to get in
touch with us about your order , e - mail us at orders @ amazon . com .
on your next visit to our web site , come see what ' s new for you by
clicking the link on the right - hand side of our home page , or by
visiting this url :
we ' ve selected an assortment of new releases , recommendations , and
informative articles that we think would appeal to you .
thank you for shopping at amazon . com .
amazon . com
earth ' s biggest selection
orders @ amazon . com http : / / www . amazon . com /
",0,1
1953,"if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar-nominated documentary takes you there .",1,0
3989,you won't have any trouble getting kids to eat up these veggies .,1,0
9784,ms . hutchins is talented enough and charismatic enough to make us care about zelda's ultimate fate .,1,0
9116,a polished and vastly entertaining caper film that puts the sting back into the con .,1,0
9873,worth a salute just for trying to be more complex than your average film .,1,0
